Dates,DoW,Subject,Board,Trials,TrialsLeft,TrialsRight,Hits,HitsLeft,HitsRight,HitsRep,HitsAlt,Errors,ErrorsLeft,ErrorsRight,Performance,PerformanceLeft,PerformanceRight,Responses,ResponsesLeft,ResponsesRight,Repetitions,Alternations,Accuracy,AccuracyLeft,AccuracyRight,AccuracyRep,AccuracyAlt,Misses,MissesLeft,MissesRight,MissRate,MissRateLeft,MissRateRight,Rewards,RewardsLeft,RewardsRight,Water,WaterLeft,WaterRight,Stage,SoundsMismatch,NoSound,MessageCount
2022-02-02,2,327,['Bpod7'],405,208,197,341,144,197,152,162,19,19,0,0.8419753086419753,0.6923076923076923,1.0,360,163,197,161,199,0.9472222222222222,0.8834355828220859,1.0,0.9440993788819876,0.8140703517587939,45,45,0,0.1111111111111111,0.21634615384615385,0.0,341,144,197,852.5,360.0,492.5,2,0,0,0
2022-02-03,3,327,['Bpod7'],838,423,415,779,368,411,372,379,16,13,3,0.9295942720763724,0.8699763593380615,0.9903614457831326,795,381,414,386,409,0.979874213836478,0.9658792650918635,0.9927536231884058,0.9637305699481865,0.9266503667481663,43,42,1,0.0513126491646778,0.09929078014184398,0.0024096385542168677,779,368,411,1947.5,920.0,1027.5,2,0,0,0
2022-02-04,4,327,['Bpod7'],430,207,223,410,189,221,195,201,4,2,2,0.9534883720930233,0.9130434782608695,0.9910313901345291,414,191,223,200,214,0.9903381642512077,0.9895287958115183,0.9910313901345291,0.975,0.9392523364485982,16,16,0,0.037209302325581395,0.07729468599033816,0.0,410,189,221,1025.0,472.5,552.5,3,0,0,0
2022-02-07,0,327,['Bpod7'],550,267,283,505,250,255,279,223,35,10,25,0.9181818181818182,0.9363295880149812,0.901060070671378,540,260,280,286,253,0.9351851851851852,0.9615384615384616,0.9107142857142857,0.9755244755244755,0.8814229249011858,10,7,3,0.01818181818181818,0.026217228464419477,0.01060070671378092,505,250,255,1262.5,625.0,637.5,3,0,0,0
2022-02-09,2,327,['Bpod7'],636,324,312,520,274,246,274,245,107,46,61,0.8176100628930818,0.845679012345679,0.7884615384615384,627,320,307,298,329,0.8293460925039873,0.85625,0.8013029315960912,0.9194630872483222,0.7446808510638298,9,4,5,0.014150943396226415,0.012345679012345678,0.016025641025641024,520,274,246,1300.0,685.0,615.0,3,0,0,0
2022-02-10,3,327,['Bpod7'],528,261,267,479,226,253,246,225,17,14,3,0.9071969696969697,0.8659003831417624,0.947565543071161,496,240,256,249,247,0.9657258064516129,0.9416666666666667,0.98828125,0.9879518072289156,0.9109311740890689,32,21,11,0.06060606060606061,0.08045977011494253,0.04119850187265917,479,226,253,1197.5,565.0,632.5,3,0,0,0
2022-02-11,4,327,['Bpod7'],512,257,255,443,219,224,222,203,41,17,24,0.865234375,0.8521400778210116,0.8784313725490196,484,236,248,237,247,0.9152892561983471,0.9279661016949152,0.9032258064516129,0.9367088607594937,0.8218623481781376,28,21,7,0.0546875,0.08171206225680934,0.027450980392156862,443,219,224,1107.5,547.5,560.0,3,0,0,0
2022-02-14,0,327,['Bpod7'],387,186,201,354,154,200,189,164,33,32,1,0.9147286821705426,0.8279569892473119,0.9950248756218906,387,186,201,193,193,0.9147286821705426,0.8279569892473119,0.9950248756218906,0.9792746113989638,0.8497409326424871,0,0,0,0.0,0.0,0.0,354,154,200,885.0,385.0,500.0,4,0,0,0
2022-02-15,1,327,['Bpod7'],377,182,195,341,157,184,171,170,36,25,11,0.9045092838196287,0.8626373626373627,0.9435897435897436,377,182,195,179,197,0.9045092838196287,0.8626373626373627,0.9435897435897436,0.9553072625698324,0.8629441624365483,0,0,0,0.0,0.0,0.0,341,157,184,852.5,392.5,460.0,4,0,0,0
2022-02-16,2,327,['Bpod7'],383,212,171,340,199,141,183,155,42,13,29,0.8877284595300261,0.9386792452830188,0.8245614035087719,382,212,170,190,191,0.8900523560209425,0.9386792452830188,0.8294117647058824,0.9631578947368421,0.8115183246073299,1,0,1,0.0026109660574412533,0.0,0.005847953216374269,340,199,141,850.0,497.5,352.5,4,0,0,0
