choices,rts,winners
1.0,1.227,1
1.0,0.607,0
1.0,0.756,1
-1.0,0.6679999999999999,1
-1.0,0.6799999999999999,1
1.0,0.583,0
1.0,0.969,1
1.0,1.229,1
0.0,0.316,0
-1.0,0.632,0
1.0,1.165,1
-1.0,0.896,1
1.0,0.654,1
-1.0,0.546,0
1.0,0.569,0
0.0,0.433,0
-1.0,0.852,1
1.0,0.646,0
0.0,0.41800000000000004,0
1.0,0.718,1
0.0,0.41300000000000003,0
1.0,0.8009999999999999,1
1.0,0.647,1
1.0,0.698,1
0.0,0.447,0
-1.0,0.89,0
0.0,0.517,0
1.0,0.751,1
0.0,0.439,0
-1.0,0.556,0
0.0,0.334,0
1.0,0.735,1
1.0,0.78,1
1.0,0.6659999999999999,1
-1.0,0.821,0
0.0,0.498,0
-1.0,0.6799999999999999,0
1.0,0.691,1
0.0,0.48300000000000004,0
1.0,0.7899999999999999,1
-1.0,0.574,0
-1.0,0.65,0
0.0,0.317,0
0.0,0.315,0
1.0,0.7849999999999999,1
1.0,0.6849999999999999,0
1.0,1.1,1
-1.0,1.073,1
0.0,0.445,0
1.0,0.746,0
1.0,0.622,0
1.0,0.836,1
1.0,0.6699999999999999,1
