choices,rts,winners
-1.0,0.611,0
0.0,0.468,0
0.0,0.48900000000000005,0
0.0,0.503,0
1.0,0.848,1
1.0,0.705,0
1.0,0.877,1
1.0,0.746,1
0.0,0.385,0
1.0,0.747,1
0.0,0.434,0
1.0,1.209,1
1.0,0.8059999999999999,0
1.0,0.777,0
-1.0,0.636,0
-1.0,0.582,0
1.0,0.524,0
0.0,0.466,0
1.0,0.6709999999999999,0
-1.0,0.91,1
-1.0,0.6839999999999999,1
-1.0,0.704,1
0.0,0.446,0
0.0,0.176,0
0.0,0.458,0
-1.0,1.274,1
1.0,0.7839999999999999,1
1.0,0.578,0
1.0,0.6819999999999999,1
1.0,0.6669999999999999,1
1.0,0.965,1
1.0,0.6779999999999999,0
1.0,0.74,1
0.0,0.402,0
-1.0,0.813,1
0.0,0.41100000000000003,0
-1.0,0.726,1
1.0,0.693,1
0.0,0.312,0
1.0,0.654,1
1.0,0.748,1
0.0,0.47300000000000003,0
-1.0,0.6639999999999999,0
1.0,1.29,0
0.0,0.52,0
1.0,0.6649999999999999,1
1.0,0.693,1
0.0,0.40700000000000003,0
1.0,1.1780000000000002,1
1.0,0.824,1
-1.0,0.582,0
0.0,0.244,0
1.0,0.719,1
0.0,0.459,0
-1.0,0.579,0
1.0,0.646,1
0.0,0.297,0
1.0,0.6589999999999999,1
0.0,0.308,0
1.0,0.705,1
0.0,0.15200000000000002,0
1.0,0.717,1
0.0,0.371,0
0.0,1.578,1
1.0,1.211,1
1.0,0.8049999999999999,1
1.0,0.632,0
0.0,0.23199999999999998,0
0.0,0.385,0
1.0,1.4640000000000002,1
0.0,0.402,0
1.0,0.759,1
1.0,0.775,0
-1.0,0.875,1
1.0,0.9289999999999999,0
1.0,0.825,1
1.0,0.6749999999999999,0
1.0,0.835,0
1.0,0.867,1
-1.0,1.171,1
1.0,0.826,1
-1.0,1.117,1
1.0,0.6849999999999999,1
1.0,0.7909999999999999,1
0.0,0.16899999999999998,0
-1.0,1.059,1
1.0,0.846,1
0.0,0.40900000000000003,0
0.0,0.42900000000000005,0
0.0,0.499,0
1.0,0.741,1
0.0,0.452,0
1.0,0.744,1
1.0,0.825,0
1.0,0.851,1
-1.0,0.6579999999999999,1
1.0,0.639,1
-1.0,0.836,0
1.0,0.752,0
-1.0,0.648,0
-1.0,0.728,1
1.0,0.725,1
1.0,0.715,0
1.0,0.6619999999999999,1
1.0,0.703,0
1.0,0.774,1
1.0,0.834,1
0.0,0.48300000000000004,0
0.0,0.436,0
1.0,0.651,0
1.0,0.6589999999999999,1
1.0,0.653,0
-1.0,0.524,0
1.0,1.1880000000000002,1
1.0,0.903,1
1.0,0.582,0
-1.0,0.6619999999999999,1
1.0,0.604,0
1.0,0.839,0
1.0,0.7889999999999999,1
1.0,0.689,1
1.0,0.867,1
0.0,0.405,0
1.0,0.698,0
1.0,0.96,0
0.0,0.342,0
0.0,0.299,0
1.0,0.818,1
-1.0,0.704,1
1.0,1.0350000000000001,1
0.0,0.22699999999999998,0
1.0,0.648,1
1.0,0.635,1
0.0,0.41600000000000004,0
0.0,0.23199999999999998,0
1.0,0.635,1
-1.0,0.6769999999999999,1
0.0,0.21100000000000002,0
1.0,0.6659999999999999,1
-1.0,0.6739999999999999,0
-1.0,0.576,0
-1.0,0.6789999999999999,1
1.0,0.6829999999999999,1
1.0,0.7869999999999999,1
1.0,0.656,1
0.0,0.51,0
1.0,0.862,1
0.0,0.442,0
1.0,0.697,0
-1.0,0.6729999999999999,1
0.0,0.329,0
0.0,0.305,0
1.0,0.984,1
0.0,0.252,0
-1.0,0.9299999999999999,1
1.0,0.6759999999999999,1
1.0,0.54,0
-1.0,0.736,0
0.0,0.49000000000000005,0
0.0,0.503,0
1.0,0.6789999999999999,0
1.0,0.575,0
1.0,0.6779999999999999,1
1.0,0.833,1
1.0,0.742,1
1.0,0.722,1
0.0,0.294,0
-1.0,0.6649999999999999,1
0.0,0.28700000000000003,0
1.0,0.6729999999999999,0
-1.0,1.114,0
0.0,0.376,0
0.0,0.49300000000000005,0
1.0,1.179,0
1.0,0.847,1
1.0,0.825,1
1.0,0.7939999999999999,1
1.0,0.629,1
0.0,0.325,0
-1.0,0.633,0
-1.0,0.599,0
-1.0,0.888,0
1.0,0.877,1
0.0,0.325,0
0.0,0.48500000000000004,0
1.0,0.6589999999999999,1
1.0,0.568,0
0.0,0.49000000000000005,0
1.0,0.6849999999999999,1
1.0,0.554,0
1.0,0.698,1
1.0,0.6809999999999999,0
0.0,0.434,0
1.0,0.6669999999999999,1
0.0,0.468,0
1.0,0.728,1
1.0,0.565,0
1.0,0.862,1
1.0,0.532,0
1.0,0.771,1
1.0,0.693,1
-1.0,0.755,0
0.0,0.44,0
0.0,0.326,0
1.0,0.822,0
0.0,0.372,0
1.0,0.688,1
1.0,0.593,0
0.0,0.47900000000000004,0
-1.0,0.537,0
1.0,0.739,1
0.0,0.28600000000000003,0
1.0,0.626,1
1.0,1.111,1
0.0,0.32,0
1.0,0.766,1
1.0,0.72,1
-1.0,0.558,0
-1.0,0.612,0
-1.0,0.531,0
-1.0,0.6649999999999999,1
1.0,0.74,1
-1.0,0.714,1
1.0,0.6699999999999999,1
0.0,0.316,0
1.0,1.006,1
-1.0,0.8099999999999999,0
0.0,0.325,0
1.0,0.6849999999999999,0
1.0,0.6779999999999999,1
1.0,0.617,0
0.0,0.41200000000000003,0
0.0,0.325,0
1.0,0.753,1
1.0,0.762,1
0.0,0.47100000000000003,0
-1.0,0.647,0
1.0,0.697,1
-1.0,0.734,1
1.0,0.642,1
1.0,0.967,1
0.0,0.36700000000000005,0
1.0,0.524,0
-1.0,0.6869999999999999,1
-1.0,0.717,0
0.0,0.35000000000000003,0
1.0,0.692,1
1.0,0.904,1
0.0,0.316,0
1.0,1.2020000000000002,0
0.0,0.36500000000000005,0
0.0,0.47400000000000003,0
1.0,0.6,0
1.0,0.6739999999999999,0
1.0,0.939,1
1.0,0.571,0
0.0,0.28600000000000003,0
1.0,1.012,1
1.0,0.737,1
1.0,0.88,1
0.0,0.279,0
1.0,0.726,1
0.0,0.372,0
-1.0,0.606,0
0.0,0.268,0
0.0,0.36000000000000004,0
0.0,0.405,0
-1.0,1.1,1
0.0,0.432,0
0.0,0.47400000000000003,0
1.0,0.712,1
1.0,0.634,0
0.0,0.28500000000000003,0
-1.0,0.639,0
0.0,0.29,0
0.0,0.499,0
0.0,0.264,0
1.0,0.533,0
0.0,0.28300000000000003,0
0.0,0.42500000000000004,0
-1.0,0.729,0
1.0,0.523,0
-1.0,0.714,1
0.0,0.442,0
1.0,0.766,1
0.0,0.371,0
1.0,0.634,1
0.0,0.42600000000000005,0
1.0,0.768,1
1.0,0.853,1
0.0,0.465,0
1.0,0.557,0
1.0,0.531,0
1.0,0.6589999999999999,1
0.0,0.444,0
1.0,0.715,1
-1.0,0.823,1
0.0,0.48500000000000004,0
1.0,0.85,1
-1.0,0.7849999999999999,1
-1.0,0.764,1
1.0,1.038,1
0.0,0.332,0
1.0,0.6599999999999999,1
1.0,0.977,0
-1.0,0.6579999999999999,1
-1.0,0.7939999999999999,1
-1.0,0.568,0
-1.0,0.548,0
1.0,0.6579999999999999,0
0.0,0.192,0
1.0,0.629,0
1.0,0.6609999999999999,0
-1.0,0.743,1
0.0,0.239,0
1.0,0.645,1
1.0,0.644,1
1.0,0.745,1
0.0,0.497,0
1.0,0.727,1
1.0,0.633,1
-1.0,0.767,1
-1.0,0.6819999999999999,1
-1.0,0.627,0
1.0,0.825,1
-1.0,0.852,0
0.0,0.322,0
1.0,0.83,1
0.0,0.512,0
-1.0,0.581,0
1.0,0.6749999999999999,0
-1.0,0.5599999999999999,0
1.0,0.696,1
1.0,0.724,1
1.0,0.6759999999999999,1
-1.0,0.716,1
-1.0,0.6719999999999999,1
-1.0,0.6609999999999999,1
1.0,0.712,0
1.0,0.743,1
1.0,0.891,1
0.0,0.376,0
1.0,0.817,1
1.0,0.814,1
0.0,0.301,0
0.0,0.379,0
0.0,0.47200000000000003,0
0.0,0.461,0
-1.0,0.967,1
0.0,0.35200000000000004,0
0.0,0.43100000000000005,0
0.0,0.439,0
1.0,0.966,1
-1.0,0.772,0
1.0,0.848,1
-1.0,0.62,0
-1.0,0.735,1
0.0,0.264,0
1.0,0.879,1
1.0,0.644,0
0.0,0.35000000000000003,0
-1.0,1.072,1
1.0,0.713,1
-1.0,0.763,0
0.0,0.28800000000000003,0
0.0,0.43100000000000005,0
-1.0,0.819,1
1.0,1.0110000000000001,1
-1.0,0.57,0
1.0,0.6669999999999999,0
0.0,0.21700000000000003,0
-1.0,0.716,1
1.0,0.6599999999999999,1
-1.0,0.865,1
0.0,0.39,0
1.0,0.6839999999999999,1
-1.0,0.624,1
1.0,0.76,1
1.0,0.623,1
1.0,1.028,1
1.0,0.89,1
1.0,0.9329999999999999,1
1.0,0.651,0
0.0,0.28400000000000003,0
-1.0,0.6669999999999999,1
1.0,0.939,1
-1.0,0.84,1
1.0,1.1540000000000001,1
1.0,0.751,0
0.0,0.255,0
-1.0,0.706,1
1.0,0.973,1
0.0,0.281,0
1.0,1.008,1
-1.0,0.524,0
1.0,0.899,1
1.0,0.9169999999999999,1
-1.0,0.987,1
0.0,0.35000000000000003,0
1.0,0.943,0
1.0,0.631,0
1.0,0.65,1
-1.0,0.747,1
-1.0,0.732,1
1.0,0.622,0
-1.0,0.69,1
1.0,0.7989999999999999,0
-1.0,0.896,1
-1.0,0.639,0
1.0,0.8059999999999999,1
1.0,0.719,1
0.0,0.41900000000000004,0
1.0,0.816,1
1.0,1.0210000000000001,1
0.0,0.334,0
-1.0,0.582,0
-1.0,0.859,0
0.0,0.393,0
1.0,0.762,1
0.0,0.267,0
1.0,1.118,0
-1.0,0.759,1
0.0,0.379,0
0.0,0.47700000000000004,0
1.0,0.828,1
1.0,0.6789999999999999,1
0.0,0.24,0
-1.0,0.629,0
0.0,0.371,0
1.0,0.689,1
-1.0,0.5619999999999999,0
0.0,0.406,0
-1.0,0.84,1
-1.0,0.82,1
1.0,0.9339999999999999,1
-1.0,0.77,1
0.0,0.458,0
1.0,0.6869999999999999,0
0.0,0.23299999999999998,0
-1.0,0.631,0
-1.0,0.695,1
-1.0,0.571,0
1.0,0.589,0
0.0,0.44,0
1.0,0.747,1
1.0,0.6699999999999999,1
1.0,0.6719999999999999,0
-1.0,0.63,0
-1.0,0.6709999999999999,1
-1.0,0.944,1
1.0,0.745,1
1.0,0.9219999999999999,1
0.0,0.503,0
-1.0,0.648,1
1.0,0.959,1
1.0,0.643,1
1.0,0.7869999999999999,1
1.0,0.972,0
-1.0,0.574,0
1.0,1.118,1
1.0,0.758,1
-1.0,1.5270000000000001,1
1.0,0.689,1
0.0,0.308,0
0.0,0.386,0
1.0,0.763,1
1.0,0.624,0
0.0,0.47300000000000003,0
1.0,0.783,1
0.0,0.40900000000000003,0
-1.0,0.709,1
-1.0,0.732,1
1.0,0.871,1
1.0,0.645,1
1.0,0.539,0
1.0,0.7839999999999999,0
0.0,0.337,0
1.0,0.716,1
0.0,0.20800000000000002,0
0.0,0.309,0
1.0,0.7929999999999999,1
0.0,0.442,0
0.0,0.339,0
1.0,0.846,1
1.0,0.717,1
1.0,0.975,0
-1.0,0.623,0
1.0,0.879,1
-1.0,1.1600000000000001,1
0.0,0.21900000000000003,0
-1.0,0.716,1
-1.0,1.1740000000000002,0
-1.0,0.5599999999999999,0
1.0,0.64,0
-1.0,0.653,1
1.0,0.8049999999999999,1
1.0,0.644,0
0.0,0.273,0
1.0,0.753,1
0.0,0.47100000000000003,0
1.0,0.643,1
1.0,1.3050000000000002,0
1.0,0.722,1
1.0,0.9309999999999999,1
0.0,0.326,0
0.0,0.49000000000000005,0
1.0,0.7889999999999999,1
0.0,0.445,0
1.0,0.779,1
1.0,0.637,1
1.0,0.945,1
0.0,0.36000000000000004,0
1.0,0.89,1
0.0,0.48800000000000004,0
1.0,0.863,1
1.0,0.698,0
0.0,0.334,0
-1.0,0.548,0
1.0,0.554,0
1.0,1.2990000000000002,0
1.0,0.711,1
-1.0,0.866,1
1.0,0.761,1
1.0,0.8109999999999999,1
0.0,0.333,0
-1.0,0.854,1
0.0,0.23299999999999998,0
1.0,0.6789999999999999,0
0.0,0.49000000000000005,0
-1.0,1.191,1
1.0,0.712,1
1.0,0.709,1
0.0,0.47700000000000004,0
0.0,0.37,0
1.0,0.7879999999999999,1
1.0,1.079,1
0.0,0.279,0
1.0,0.9179999999999999,1
1.0,0.523,0
1.0,0.857,0
1.0,1.262,1
1.0,0.751,0
1.0,0.628,0
0.0,0.49200000000000005,0
0.0,0.42700000000000005,0
-1.0,1.0070000000000001,1
1.0,0.732,1
0.0,0.377,0
0.0,0.395,0
0.0,0.393,0
0.0,0.40700000000000003,0
1.0,0.74,1
0.0,0.22200000000000003,0
0.0,0.371,0
0.0,0.371,0
1.0,0.824,1
0.0,0.339,0
-1.0,0.5609999999999999,0
-1.0,0.695,0
-1.0,1.258,1
0.0,0.20900000000000002,0
1.0,0.856,0
1.0,0.705,1
0.0,0.4,0
1.0,0.724,1
1.0,0.6799999999999999,0
1.0,0.767,0
1.0,0.709,1
-1.0,0.6759999999999999,1
1.0,0.83,1
1.0,0.6699999999999999,1
1.0,0.77,1
1.0,0.839,1
-1.0,0.701,1
1.0,0.748,1
1.0,0.741,0
-1.0,0.75,1
0.0,0.519,0
0.0,0.376,0
1.0,0.9349999999999999,1
0.0,0.509,0
-1.0,0.7919999999999999,1
0.0,0.41300000000000003,0
0.0,0.372,0
1.0,0.7839999999999999,1
1.0,0.716,1
-1.0,0.692,1
0.0,0.27,0
1.0,0.6699999999999999,1
1.0,0.904,1
0.0,0.48600000000000004,0
0.0,0.51,0
1.0,1.26,1
0.0,0.468,0
0.0,0.449,0
0.0,0.35200000000000004,0
1.0,0.884,0
1.0,0.609,0
0.0,0.392,0
1.0,0.838,1
0.0,0.42300000000000004,0
1.0,0.643,0
1.0,0.706,1
1.0,0.6589999999999999,1
-1.0,0.968,1
1.0,0.7999999999999999,1
1.0,0.629,1
1.0,0.601,0
0.0,0.294,0
1.0,0.6,0
1.0,0.695,1
1.0,1.163,1
0.0,0.397,0
0.0,0.203,0
1.0,0.864,0
1.0,0.701,1
1.0,0.745,1
0.0,0.34500000000000003,0
1.0,0.706,1
0.0,0.435,0
0.0,0.20700000000000002,0
0.0,0.47400000000000003,0
0.0,0.394,0
1.0,0.702,0
-1.0,0.604,0
-1.0,0.7889999999999999,0
-1.0,0.555,0
1.0,0.6769999999999999,0
0.0,0.449,0
1.0,0.61,0
1.0,0.6589999999999999,1
1.0,0.62,0
1.0,0.753,1
1.0,0.756,1
-1.0,0.6829999999999999,1
0.0,0.293,0
0.0,0.386,0
0.0,0.338,0
0.0,0.47300000000000003,0
0.0,0.501,0
1.0,0.706,0
1.0,0.6749999999999999,1
1.0,0.653,1
1.0,0.957,1
1.0,0.626,0
1.0,0.73,1
0.0,0.406,0
1.0,1.073,1
-1.0,1.2750000000000001,1
1.0,0.862,1
1.0,0.8019999999999999,0
1.0,0.6639999999999999,0
-1.0,0.75,0
-1.0,0.656,1
1.0,0.6699999999999999,1
-1.0,0.6639999999999999,1
1.0,0.86,1
1.0,0.738,1
-1.0,0.706,0
0.0,0.22899999999999998,0
-1.0,0.577,0
1.0,0.774,1
-1.0,0.823,1
1.0,0.542,0
1.0,0.708,1
1.0,0.716,1
1.0,0.814,1
0.0,0.305,0
0.0,0.36700000000000005,0
0.0,0.41500000000000004,0
1.0,0.9149999999999999,1
-1.0,0.986,1
1.0,0.6739999999999999,1
1.0,0.587,0
1.0,0.6849999999999999,1
1.0,0.768,1
1.0,0.698,1
1.0,1.2220000000000002,1
1.0,0.6589999999999999,1
-1.0,0.6609999999999999,1
0.0,0.319,0
1.0,0.853,1
1.0,0.644,1
1.0,0.872,1
1.0,0.569,0
0.0,0.34400000000000003,0
1.0,0.692,0
-1.0,0.73,1
1.0,0.887,1
0.0,0.194,0
1.0,0.71,1
1.0,0.9129999999999999,1
0.0,0.441,0
1.0,0.653,1
0.0,0.35400000000000004,0
1.0,0.6789999999999999,1
0.0,0.35100000000000003,0
1.0,0.754,1
-1.0,0.745,1
0.0,0.241,0
-1.0,1.049,1
1.0,0.9239999999999999,1
1.0,0.748,0
-1.0,0.741,0
0.0,0.35800000000000004,0
1.0,0.612,0
1.0,1.1400000000000001,1
1.0,0.59,0
0.0,0.36300000000000004,0
0.0,0.466,0
1.0,0.7,1
1.0,0.6619999999999999,1
0.0,0.324,0
0.0,0.21400000000000002,0
0.0,0.334,0
1.0,0.6669999999999999,1
-1.0,0.899,1
1.0,1.041,1
-1.0,0.6759999999999999,1
1.0,0.526,0
-1.0,0.578,0
1.0,0.71,0
1.0,0.6719999999999999,1
0.0,0.317,0
1.0,0.715,1
1.0,0.6819999999999999,1
-1.0,0.582,0
-1.0,0.8049999999999999,1
1.0,0.72,1
-1.0,0.535,0
0.0,0.14600000000000002,0
0.0,0.28300000000000003,0
1.0,0.6819999999999999,1
-1.0,1.006,1
1.0,0.648,1
1.0,0.9189999999999999,1
1.0,0.689,1
-1.0,0.574,0
-1.0,0.73,1
-1.0,0.831,1
0.0,0.444,0
1.0,0.9349999999999999,1
1.0,0.834,1
0.0,0.445,0
1.0,0.737,1
0.0,0.289,0
0.0,0.31,0
-1.0,0.695,0
-1.0,0.607,0
1.0,0.744,0
1.0,0.6669999999999999,0
1.0,0.9219999999999999,1
1.0,0.6639999999999999,0
0.0,0.48000000000000004,0
1.0,0.747,0
1.0,0.7879999999999999,0
-1.0,0.643,1
1.0,0.718,0
0.0,0.325,0
0.0,0.36300000000000004,0
1.0,0.736,1
0.0,0.165,0
1.0,0.579,0
1.0,1.082,1
-1.0,0.972,1
1.0,0.857,1
0.0,0.456,0
1.0,0.957,1
1.0,0.65,0
1.0,1.358,1
0.0,0.49600000000000005,0
0.0,0.42900000000000005,0
0.0,0.3,0
1.0,0.6659999999999999,1
1.0,1.049,1
0.0,0.379,0
-1.0,1.3190000000000002,1
0.0,0.394,0
0.0,0.35100000000000003,0
1.0,0.6749999999999999,0
1.0,0.8069999999999999,1
1.0,0.9199999999999999,1
1.0,0.647,1
0.0,0.462,0
0.0,0.46,0
1.0,0.6839999999999999,1
1.0,0.7939999999999999,1
-1.0,0.593,0
0.0,0.48800000000000004,0
1.0,0.606,0
1.0,0.693,1
1.0,0.7949999999999999,1
0.0,0.444,0
-1.0,0.567,0
-1.0,0.646,1
-1.0,0.74,0
-1.0,0.852,1
-1.0,0.6679999999999999,0
-1.0,1.1820000000000002,0
0.0,0.516,0
1.0,0.6829999999999999,1
1.0,0.848,1
1.0,0.982,0
0.0,0.21800000000000003,0
1.0,0.537,0
1.0,0.7879999999999999,1
1.0,0.779,1
1.0,0.6639999999999999,0
1.0,0.821,1
-1.0,0.761,1
1.0,0.703,1
0.0,0.27,0
1.0,0.8069999999999999,0
1.0,0.709,1
1.0,0.6659999999999999,1
-1.0,1.02,0
1.0,0.58,0
1.0,0.962,1
-1.0,0.698,1
1.0,0.651,0
1.0,1.084,0
1.0,0.702,0
-1.0,0.628,0
1.0,0.719,1
1.0,0.751,1
0.0,0.467,0
1.0,0.955,1
0.0,0.36700000000000005,0
0.0,0.21400000000000002,0
1.0,0.879,1
1.0,0.605,0
0.0,0.334,0
0.0,0.456,0
-1.0,0.817,1
-1.0,0.6769999999999999,1
0.0,0.275,0
-1.0,0.6679999999999999,1
-1.0,0.775,1
1.0,0.613,0
1.0,0.903,1
0.0,0.339,0
-1.0,0.779,1
-1.0,0.535,0
1.0,0.763,0
1.0,0.8069999999999999,1
0.0,0.246,0
1.0,0.774,0
0.0,0.278,0
-1.0,0.976,1
1.0,0.78,1
1.0,0.582,0
1.0,0.7999999999999999,0
-1.0,0.851,0
-1.0,0.703,1
0.0,0.281,0
1.0,0.6619999999999999,1
0.0,0.48100000000000004,0
1.0,1.07,1
1.0,0.7939999999999999,1
0.0,0.27,0
1.0,0.644,1
-1.0,0.636,0
-1.0,1.419,1
1.0,0.763,1
1.0,0.65,1
1.0,0.767,1
1.0,0.868,1
0.0,0.42800000000000005,0
1.0,0.736,0
1.0,1.231,1
-1.0,0.57,0
1.0,0.971,1
